Decimal   Binary     Hexadecimal   BCD   
1         00000001   01            0001 
2         00000010   02            0010 
3         00000011   03            0011 
4         00000100   04            0100 
5         00000101   05            0101 
6         00000110   06            0110 
7         00000111   07            0111 
8         00001000   08            1000 
9         00001001   09            1001 
10        00001010   0A            0001 0000 
11        00001011   0B            0001 0001 
12        00001100   0C            0001 0010 
13        00001101   0D            0001 0011 
14        00001110   0E            0001 0100 
15        00001111   0F            0001 0101 
16        00010000   10            0001 0110 
17        00010001   11            0001 0111 
18        00010010   12            0001 1000 
19        00010011   13            0001 1001 
20        00010100   14            0010 0000 
21        00010101   15            0010 0001 
22        00010110   16            0010 0010 
23        00010111   17            0010 0011 
24        00011000   18            0010 0100 
25        00011001   19            0010 0101 
26        00011010   1A            0010 0110 
27        00011011   1B            0010 0111 
28        00011100   1C            0010 1000 
29        00011101   1D            0010 1001 
30        00011110   1E            0011 0000 
31        00011111   1F            0011 0001 
32        00100000   20            0011 0010 
33        00100001   21            0011 0011 
34        00100010   22            0011 0100 
35        00100011   23            0011 0101 
36        00100100   24            0011 0110 
37        00100101   25            0011 0111 
38        00100110   26            0011 1000 
39        00100111   27            0011 1001 
40        00101000   28            0100 0000 
41        00101001   29            0100 0001 
42        00101010   2A            0100 0010 
43        00101011   2B            0100 0011 
44        00101100   2C            0100 0100 
45        00101101   2D            0100 0101 
46        00101110   2E            0100 0110 
47        00101111   2F            0100 0111 
48        00110000   30            0100 1000 
49        00110001   31            0100 1001 
50        00110010   32            0101 0000 
51        00110011   33            0101 0001 
52        00110100   34            0101 0010 
53        00110101   35            0101 0011 
54        00110110   36            0101 0100 
55        00110111   37            0101 0101 
56        00111000   38            0101 0110 
57        00111001   39            0101 0111 
58        00111010   3A            0101 1000 
59        00111011   3B            0101 1001 
60        00111100   3C            0110 0000 
61        00111101   3D            0110 0001 
62        00111110   3E            0110 0010 
63        00111111   3F            0110 0011 
64        01000000   40            0110 0100 
65        01000001   41            0110 0101 
66        01000010   42            0110 0110 
67        01000011   43            0110 0111 
68        01000100   44            0110 1000 
69        01000101   45            0110 1001 
70        01000110   46            0111 0000 
71        01000111   47            0111 0001 
